Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Jolene,30/9/2021 3:05,0:03:41,,On Children: Season 1: Motherâ€™s Remote (Episode 1),,Chrome PC (Cadmium),0:03:41,0:03:41,SG (Singapore)
Jolene,29/9/2021 12:16,0:33:44,,47 Metres Down,,DefaultWidevineAndroidPhone,1:24:56,1:24:56,SG (Singapore)
Jolene,29/9/2021 12:15,0:00:19,,47 Metres Down,,DefaultWidevineAndroidPhone,0:40:31,Not latest view,SG (Singapore)
Jolene,29/9/2021 11:31,0:31:22,,47 Metres Down,,DefaultWidevineAndroidPhone,0:40:20,Not latest view,SG (Singapore)
Jolene,29/9/2021 11:30,0:01:05,,47 Metres Down,,DefaultWidevineAndroidPhone,0:01:12,Not latest view,SG (Singapore)
Jolene,29/9/2021 11:30,0:00:16,,47 Meters Down_hook_primary_16x9,HOOK,DefaultWidevineAndroidPhone,0:00:16,0:00:16,SG (Singapore)
Jolene,29/9/2021 11:22,0:00:41,,47 Meters Down_hook_primary_16x9,HOOK,DefaultWidevineAndroidPhone,0:00:41,Not latest view,SG (Singapore)
Jolene,27/9/2021 1:50,0:04:51,,The Invisible Guest,,DefaultWidevineAndroidPhone,1:41:21,1:41:21,SG (Singapore)
Jolene,27/9/2021 0:30,1:18:23,,The Invisible Guest,,DefaultWidevineAndroidPhone,1:35:26,Not latest view,SG (Singapore)
Jolene,26/9/2021 11:50,0:12:42,,The Invisible Guest,,Chrome PC (Cadmium),0:12:42,Not latest view,SG (Singapore)
Jolene,26/9/2021 11:18,0:00:33,Autoplayed: user action: None; ,The Invisible Guest_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:33,0:00:33,SG (Singapore)
Jolene,26/9/2021 1:31,0:00:07,Autoplayed: user action: None; ,Hometown Cha-Cha-Cha: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:13,0:00:13,SG (Singapore)
